fecha,Tmax,Tmin,TMed,HR,Rad
01/09/21,"28,5","17,3","22,8","56,1","14,5"
02/09/21,"27,1","15,3","21,7","58,9","16,3"
03/09/21,"29,8","15,8","23,5","47,2","22,7"
04/09/21,"32,4","18,8","25,6","33,8","24,1"
05/09/21,"33,6","18,3","26,3","34,8",24
06/09/21,"31,4",24,"27,3","33,8","7,7"
07/09/21,"32,6","21,3","26,7","32,7","21,2"
08/09/21,"26,2","16,3","21,4","56,3","20,1"
09/09/21,"24,9","14,6","19,9","66,3","14,6"
10/09/21,"28,6","14,5","21,6","58,3","22,6"
11/09/21,"31,1","17,5",24,"42,5","20,4"
12/09/21,33,"17,4","25,6","34,3","22,2"
13/09/21,"25,4","20,6","22,7","50,4","5,5"
14/09/21,"21,9",16,"17,9","87,7","6,6"
15/09/21,"22,8","15,6","18,6","79,8","14,1"
16/09/21,"25,4",15,"19,7","72,2","19,1"
17/09/21,"27,2","16,5","21,6","58,3","17,6"
18/09/21,"26,4",15,"20,3",59,"21,4"
19/09/21,"27,7","14,3",21,"42,7","21,8"
20/09/21,"28,1","15,5","21,9",37,"21,4"
21/09/21,"24,2","14,1","19,1","48,1","21,5"
22/09/21,"21,6","12,8",16,"76,3","8,3"
23/09/21,"25,7","13,9","19,3","69,9","13,6"
24/09/21,"21,6",15,"18,3","84,3","6,2"
25/09/21,"22,2","11,7","16,8",74,"14,9"
26/09/21,"24,7",14,19,"66,6","19,6"
27/09/21,"26,3","14,6","20,1","58,2","20,1"
28/09/21,"26,8","15,2","20,3","54,8","20,1"
29/09/21,27,"13,7","19,8","58,2",20
30/09/21,"27,8","16,4","21,6","44,7","17,6"
01/10/21,"26,5","16,3","21,4","42,3","16,4"
02/10/21,27,"17,1","21,3","46,4","18,3"
03/10/21,"17,4","10,5","14,9","77,2","7,5"
04/10/21,"19,1","8,1","13,3","56,8","17,7"
05/10/21,"22,4","10,5","16,2","61,8","17,4"
06/10/21,"26,9",14,"19,6","64,2","19,1"
07/10/21,"27,2","14,1","20,9","45,1","18,9"
08/10/21,"27,8","16,2","21,7","37,7","18,5"
09/10/21,"25,9","14,4",20,"50,6","17,1"
10/10/21,"25,6","13,8","19,7","57,9",18
11/10/21,"25,3","13,5",19,"51,5","16,4"
12/10/21,"25,2","12,9",19,"52,9","16,6"
13/10/21,"26,3","12,6","19,6","40,3","17,8"
14/10/21,"25,5","12,7","18,6","47,8","17,4"
15/10/21,25,"14,1",19,"42,6","16,7"
16/10/21,"24,3","14,1",19,"38,5","11,2"
17/10/21,"23,2","12,3","17,4","71,9","14,8"
18/10/21,26,"14,3","19,6","72,1","14,9"
19/10/21,26,"14,1","20,1","54,5","16,1"
20/10/21,"26,1","13,7","19,5","55,1",16
21/10/21,"20,9","12,3","16,4","65,1","14,8"
22/10/21,"20,8","8,1","14,3","66,1","14,9"
23/10/21,"21,5","8,9",15,59,"14,3"
24/10/21,"21,9","9,5","15,9","53,9","15,2"
25/10/21,"22,1","11,5","16,3",45,"14,4"
26/10/21,"21,9","11,8","16,3","42,6",13
27/10/21,22,"10,2","15,7","51,5","14,7"
28/10/21,"21,2","10,1","15,4",59,"13,4"
29/10/21,"16,9","13,4","14,8","77,8","5,4"
30/10/21,"18,3","15,3",17,"94,2","3,3"
31/10/21,"20,2","16,9","18,3","87,1","6,9"
01/11/21,"18,2",12,"16,4","83,8","7,7"
02/11/21,"12,7",7,"10,4","83,2","7,7"
03/11/21,"11,8","6,1","9,2","79,3","12,8"
04/11/21,"11,3","3,8","7,2","76,9","13,6"
05/11/21,"12,2","2,9","7,6","66,5","13,3"
06/11/21,"12,4","3,2","7,2","59,7","13,9"
07/11/21,"13,3","2,6","7,4","51,7","13,7"
08/11/21,"16,3",4,"9,8","59,1","13,5"
09/11/21,"16,1",7,"10,9","55,5","13,4"
10/11/21,"16,6","6,7",11,"59,3",13
11/11/21,"16,4","7,3","11,5","57,6","13,1"
12/11/21,"17,2","6,4","11,5","59,7","12,3"
13/11/21,"18,2","8,1","12,9","60,1","12,6"
14/11/21,"17,7",9,"12,6",61,"12,6"
15/11/21,"14,7","7,2","10,3","63,8","12,6"
16/11/21,"14,1","5,5","9,2",59,"11,6"
17/11/21,15,"3,6","8,9","64,3","12,2"
18/11/21,"16,2","6,5","10,7","63,3","11,6"
19/11/21,"16,8","7,7","11,7","63,8","9,6"
20/11/21,"11,6",9,"10,5","84,8","1,8"
21/11/21,"12,1",9,"10,1","93,7","4,1"
22/11/21,"12,5","3,9","8,9","89,9","5,5"
23/11/21,"7,6","1,2",4,"80,4","5,8"
24/11/21,"8,6","2,6","5,2","86,6","8,2"
25/11/21,9,"2,5","5,6",89,"5,1"
26/11/21,"9,7","2,9","5,8","82,1","11,1"
27/11/21,"8,9",1,"4,5","75,3","8,4"
28/11/21,"7,2","-1,3","3,2","69,3","11,3"
29/11/21,"11,1","5,8","8,2","78,4","9,9"
30/11/21,"11,5",5,"7,9","72,2","9,7"
01/12/21,"9,5","2,9","4,9","85,9","7,7"
02/12/21,"14,6","0,9","8,2","73,6","8,2"
03/12/21,12,"-2,1","4,5",78,"10,7"
04/12/21,"13,7","-1,2","6,9","87,5","7,1"
05/12/21,"13,4",4,"8,5","78,3","10,2"
06/12/21,"12,6","0,3","6,3","83,7","10,3"
07/12/21,"14,8","1,1","8,6","87,5",7
08/12/21,"13,5","5,7","9,9",80,"7,5"
09/12/21,"13,4","2,8","8,4","85,7",7
10/12/21,"13,8","7,3","10,6","89,5","3,2"
11/12/21,"15,4","3,2","9,1","88,8","8,9"
12/12/21,"17,6","1,2","8,7",84,"10,4"
13/12/21,"17,8","0,7","8,1","78,7","10,3"
14/12/21,16,"-0,9","6,8","81,7","10,3"
15/12/21,"15,3","-2,6","5,7","79,3","10,4"
16/12/21,"16,8","-2,5","6,7","75,2","10,1"
17/12/21,"15,4",1,"7,8","74,3","8,7"
18/12/21,"13,9","0,6","7,2","77,7","8,8"
19/12/21,"16,7","-0,1","7,8","79,9","9,6"
20/12/21,16,"3,9","9,7",80,"5,8"
21/12/21,"16,1","8,5",12,"92,4","5,4"
22/12/21,"15,6","6,7","11,4","94,8","5,2"
23/12/21,"14,6",6,"10,6","96,7","4,8"
24/12/21,14,"8,8","11,5","95,8",3
25/12/21,"14,7","8,6","11,6","96,9","4,1"
26/12/21,"14,6",11,"12,9","95,6","3,2"
27/12/21,"17,6","12,7","14,7","90,9","6,9"
28/12/21,"17,4","7,7","12,8","90,2","5,9"
29/12/21,15,"4,5","9,6","93,9","9,5"
30/12/21,"18,7","1,8","9,2",84,"10,3"
31/12/21,"18,1","2,1","9,2","79,2","10,5"
01/01/22,19,"1,4","9,4","83,4","10,4"
02/01/22,"17,6","1,1","8,9","83,5","10,2"
03/01/22,19,"1,9","9,6","82,9","10,2"
04/01/22,"14,4","3,4","8,5","91,3","6,8"
05/01/22,"11,7","2,6","7,3",89,"7,2"
06/01/22,"12,4","1,1","6,7","86,5","10,5"
07/01/22,"12,1","-2,2","4,4","86,2","10,9"
08/01/22,"10,4","-2,2",4,"87,8","8,7"
09/01/22,"12,2",-1,"5,6","87,5","10,5"
10/01/22,"11,4","3,6","8,2",95,4
11/01/22,"15,6","1,9","8,6",84,"11,1"
12/01/22,"14,3","-0,1","6,9","82,6","10,3"
13/01/22,"14,1","-1,5",6,"73,8","11,3"
14/01/22,"12,7","-2,4",5,"76,7","11,2"
15/01/22,"10,6","1,9","5,9","66,9","10,8"
16/01/22,"10,5","3,9","6,5","65,2","10,8"
17/01/22,"12,3","1,7","6,8","60,5","11,8"
